group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_kids_if_parent,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
mexico_born,female,18-24,98,248144.18999999994,0.29157156570943704,0.48015933800424676,1.6467975429495247,6.5849577618561215,1.2057968796287355,0.29157156570943704,3.9106787469011475
mexico_born,female,25-34,317,703898.9099999999,0.5907774597917761,1.1488101182029107,1.9445733738856885,12.458697954227548,3.2717108483659967,0.5808369698995557,6.6749906886487445
mexico_born,female,35-44,592,1184850.8900000001,0.7918474197204679,1.6417846552826574,2.0733598599869505,12.81174094404402,2.7138721480810126,0.7386840212442258,6.245028005169494
mexico_born,female,45-54,661,1368423.94,0.4445386420234653,0.6463587957983254,1.453999123352266,3.504906615416272,0.7633875288676988,0.35653271310059076,1.850713741532467
mexico_born,female,55-64,536,1116034.43,0.08576801703151757,0.11847725880643308,1.3813687538432382,0.5863466595739345,0.16972340181297096,0.04688214681692213,0.2929026571339739
mexico_born,female,65-74,289,557903.5700000001,0.014056676496979573,0.016208643368243722,1.1530921531648362,0.17133129296878308,0.0,0.014056676496979573,0.13891400623229566
mexico_born,female,75+,162,322189.93000000005,0.01578423012786278,0.024509114856569227,1.5527595998049362,0.19028192470199173,0.0,0.008724884728706448,0.07852396255835804
mexico_born,all,18-24,235,579902.79,0.18621498613586596,0.3037945549460108,1.631418401118139,4.164903241800234,0.6287590545994786,0.18621498613586596,2.4690341807115637
mexico_born,all,25-34,750,1696846.07,0.44605384859688535,0.8761376805381057,1.9641971104925993,9.736813269102248,1.5343944309574291,0.4411146380531735,5.13173314536421
mexico_born,all,35-44,1212,2586924.0300000003,0.6443248509311654,1.3476000607563259,2.0914916735072397,10.819131646475137,1.5331446204085089,0.6015842065528302,5.249638100118463
mexico_born,all,45-54,1290,2868929.5,0.41249803803125873,0.6528445993531733,1.5826611017812924,3.7185905683635654,0.40841698968203993,0.3392651997896776,1.9048207911696677
mexico_born,all,55-64,1066,2293863.5999999996,0.12332122973658942,0.1694317569710771,1.3739058338371941,0.8742627242526542,0.11345259151415979,0.07381661228679857,0.41892309551448487
mexico_born,all,65-74,561,1112347.35,0.02600080811088371,0.03814103571155179,1.4669173184500481,0.3101220495558334,0.03907009802288826,0.020293247428512323,0.18415847351998454
mexico_born,all,75+,270,535985.89,0.025458897807925505,0.041028449461608024,1.611556390663371,0.37005671921699285,0.04730967824544784,0.016971920660075586,0.1719303842121665
mexican_second_gen,male,18-24,615,1364253.15,0.01876061638560263,0.02419416073915607,1.2896250443947719,0.34232813756010017,0.05814538892580164,0.0169686908914229,0.2376490243031508
mexican_second_gen,male,25-34,591,1294832.03,0.2664467915579753,0.5169535155845658,1.94017541949678,6.0454756513862264,0.48109105703849486,0.26446955440235753,3.175436415486262
mexican_second_gen,male,35-44,309,775085.9099999999,0.45348191144385536,0.9204930586339778,2.0298341243715567,8.569476395203727,0.9215765256266885,0.4484426636009936,4.232334155061599
