STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
37,5324,13678,96,165325,comm_adl_u65,0.3892381927182337,0.08273400877060336,0.03220323605020414
38,477,686,6,11158,comm_adl_u65,0.6953352769679301,0.06148055207026349,0.04274959670191791
39,3871,12138,92,226405,comm_adl_u65,0.31891580161476357,0.053611890196771275,0.017097678938185996
40,5434,8385,57,69141,comm_adl_u65,0.648062015503876,0.12127391851434026,0.07859302006045617
41,8656,12242,102,96327,comm_adl_u65,0.707074007515112,0.12708794003758034,0.08986057906921216
42,2556,28906,175,258120,comm_adl_u65,0.08842454853663599,0.11198667286533395,0.0099023709902371
44,453,5726,30,21127,comm_adl_u65,0.07911281872162068,0.27102759502058976,0.02144175699342074
45,714,3421,30,74341,comm_adl_u65,0.2087109032446653,0.04601767530703112,0.009604390578550195
46,53,707,6,12132,comm_adl_u65,0.07496463932107496,0.05827563468513024,0.004368611935377514
47,2500,4541,36,114878,comm_adl_u65,0.5505395287381634,0.03952889151969916,0.02176221730879716
48,125240,146124,1249,340942,comm_adl_u65,0.8570802879745969,0.4285890268726059,0.3673352065747253
49,2601,4351,61,36990,comm_adl_u65,0.5977936106642151,0.11762638550959718,0.07031630170316301
50,13,155,2,11762,comm_adl_u65,0.08387096774193549,0.013178030947117838,0.0011052542084679477
51,2073,7021,59,111543,comm_adl_u65,0.29525708588520155,0.06294433536842294,0.01858476103386138
53,11889,16330,142,138492,comm_adl_u65,0.7280465401102266,0.11791294804032001,0.08584611385495192
54,246,560,11,53687,comm_adl_u65,0.4392857142857143,0.010430830554882933,0.004582114850895003
55,2967,7829,43,97460,comm_adl_u65,0.3789756035253545,0.08033039195567412,0.030443258772829877
56,617,1061,11,7634,comm_adl_u65,0.5815268614514609,0.13898349489127587,0.08082263557767881
1,231,461,5,41785,comm_adl_65,0.5010845986984815,0.011032667225080771,0.0055282996290534885
2,33,33,1,5772,comm_adl_65,1.0,0.005717255717255718,0.005717255717255718
4,8951,10359,127,43324,comm_adl_65,0.8640795443575635,0.23910534576678052,0.2066060382236174
5,646,907,9,21584,comm_adl_65,0.7122381477398015,0.04202186805040771,0.02992957746478873
6,118677,149992,1488,469729,comm_adl_65,0.7912221985172543,0.3193160311583913,0.25264993219494647
8,3228,5298,77,26916,comm_adl_65,0.609286523216308,0.19683459652251448,0.11992866696388765
9,167,6697,49,26719,comm_adl_65,0.024936538748693445,0.2506456079943112,0.006250233915939968
10,233,305,2,6971,comm_adl_65,0.7639344262295082,0.04375268971453163,0.03342418591306843
11,0,770,4,7588,comm_adl_65,0.0,0.1014760147601476,0.0
12,1971,78873,775,191807,comm_adl_65,0.0249895401468183,0.4112102269468789,0.010275954475071295
13,372,3213,36,70120,comm_adl_65,0.1157796451914099,0.04582144894466628,0.005305191100969766
15,115,441,6,9603,comm_adl_65,0.26077097505668934,0.04592314901593252,0.011975424346558367
16,418,418,4,6620,comm_adl_65,1.0,0.06314199395770392,0.06314199395770392
17,8431,11635,84,74984,comm_adl_65,0.7246239793725827,0.15516643550624132,0.1124373199615918
18,482,1134,11,35137,comm_adl_65,0.42504409171075835,0.0322736716281982,0.013717733443378774
19,190,212,3,11894,comm_adl_65,0.8962264150943396,0.01782411299815033,0.01597444089456869
20,1090,2005,12,11591,comm_adl_65,0.543640897755611,0.17297903545854543,0.0940384781295833
21,242,431,4,33611,comm_adl_65,0.5614849187935035,0.012823182886554997,0.007200023801731576
22,19,966,13,37987,comm_adl_65,0.019668737060041408,0.025429752283675996,0.0005001711111696106
23,80,172,2,9082,comm_adl_65,0.46511627906976744,0.01893855978859282,0.008808632459810615
24,293,1092,8,33917,comm_adl_65,0.2683150183150183,0.03219624377155998,0.008638735737240912
25,424,15462,150,66732,comm_adl_65,0.027422067002975035,0.23170293112749504,0.006353773302163879
26,708,1621,19,64613,comm_adl_65,0.4367674275138803,0.025087830622320586,0.010957547242814914
27,98,199,8,21708,comm_adl_65,0.49246231155778897,0.009167127326331306,0.004514464713469689
28,242,611,5,27017,comm_adl_65,0.3960720130932897,0.022615390309804938,0.008957323166894918
29,745,1271,9,29080,comm_adl_65,0.5861526357199056,0.043707015130674,0.02561898211829436
30,96,206,4,5962,comm_adl_65,0.46601941747572817,0.034552163703455215,0.016101979201610196
31,419,922,10,9453,comm_adl_65,0.4544468546637744,0.09753517401883,0.04432455305194118
32,1926,3917,27,21934,comm_adl_65,0.4917028338013786,0.17858119813987416,0.08780888118902161
33,0,0,0,3700,comm_adl_65,,0.0,0.0
34,118,17270,131,62842,comm_adl_65,0.006832657788071801,0.27481620572228765,0.001877725088316731
35,7352,10842,116,23169,comm_adl_65,0.6781036709094264,0.46795286805645475,0.3173205576416764
