group,sex,age_band,universe,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se,share_in_group_quarters
mexico_born_naturalized,men,18_plus_born_1956_on,all,now_active_duty,37592,1514031,0.00351732,0.000338375,0.354618,0.0345511,0.0774286
mexico_born_naturalized,men,18_plus_born_1956_on,all,reserve_guard_only,37592,1514031,0.0068977,0.0004624,0.478807,0.032905,0.0230131
mexico_born_naturalized,men,18_plus_born_1956_on,household,ever_active_duty,36622,1498724,0.0320613,0.00109332,0.342965,0.0118645,0
mexico_born_naturalized,men,18_plus_born_1956_on,household,now_active_duty,36622,1498724,0.00327812,0.00035183,0.40232,0.0437044,0
mexico_born_naturalized,men,18_plus_born_1956_on,household,reserve_guard_only,36622,1498724,0.00680779,0.000474514,0.468985,0.0334502,0
mexico_born_naturalized,women,18_24,all,ever_active_duty,1072,43760,0.0154402,0.0057308,2.29448,0.843148,0.228416
mexico_born_naturalized,women,18_24,all,now_active_duty,1072,43760,0.0122104,0.00580192,2.91892,1.37465,0.288833
mexico_born_naturalized,women,18_24,all,reserve_guard_only,1072,43760,0.00796002,0.00474308,2.5913,1.52466,0
mexico_born_naturalized,women,18_24,household,ever_active_duty,1002,42366,0.0123055,0.00428151,2.29004,0.787736,0
mexico_born_naturalized,women,18_24,household,now_active_duty,1002,42366,0.00896946,0.0046185,3.46456,1.76953,0
mexico_born_naturalized,women,18_24,household,reserve_guard_only,1002,42366,0.008222,0.00490161,2.62946,1.54265,0
mexico_born_naturalized,women,18_49,all,ever_active_duty,18555,744458,0.00996654,0.00109122,0.775378,0.084344,0.0265061
mexico_born_naturalized,women,18_49,all,now_active_duty,18555,744458,0.00206728,0.000572798,0.806151,0.223597,0.127789
mexico_born_naturalized,women,18_49,all,reserve_guard_only,18555,744458,0.00211474,0.00041609,0.630438,0.124904,0.01101
mexico_born_naturalized,women,18_49,household,ever_active_duty,18410,741877,0.00973612,0.00103285,0.766347,0.0802767,0
mexico_born_naturalized,women,18_49,household,now_active_duty,18410,741877,0.00180938,0.000500266,0.842222,0.233364,0
mexico_born_naturalized,women,18_49,household,reserve_guard_only,18410,741877,0.00209873,0.000413813,0.623725,0.123412,0
mexico_born_naturalized,women,25_49,all,ever_active_duty,17483,700697,0.0096247,0.00106965,0.663618,0.0736355,0.00627718
mexico_born_naturalized,women,25_49,all,now_active_duty,17483,700697,0.00143381,0.000424242,0.673667,0.200831,0.0421367
