model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
B_catholic_ref,Catholic,Protestant,loggap_earnC_adj_origin,-0.05764051848072138,0.08403834894739187,560,500,True
B_catholic_ref,Catholic,Buddhist,loggap_earnFT_unadj,0.06652486056632274,0.10946867484729424,82,500,True
B_catholic_ref,Catholic,Hindu,loggap_earnFT_unadj,0.5531154916410916,0.13130158651853702,262,500,True
B_catholic_ref,Catholic,Jewish,loggap_earnFT_unadj,0.8405343712825474,0.13588307809467776,37,500,False
B_catholic_ref,Catholic,Muslim,loggap_earnFT_unadj,0.1230732674467343,0.0806029879387926,206,500,True
B_catholic_ref,Catholic,No religion,loggap_earnFT_unadj,0.35757958476474816,0.07966797655801676,370,500,True
B_catholic_ref,Catholic,Orthodox,loggap_earnFT_unadj,-0.015571950245209323,0.09165407015280992,271,500,True
B_catholic_ref,Catholic,Other,loggap_earnFT_unadj,0.17358257231622176,0.10861033765364736,76,500,True
B_catholic_ref,Catholic,Protestant,loggap_earnFT_unadj,0.01723182582511493,0.0847118338694321,505,500,True
B_catholic_ref,Catholic,Buddhist,loggap_earnFT_adj,0.00883345741884297,0.12181191795092898,82,500,True
B_catholic_ref,Catholic,Hindu,loggap_earnFT_adj,-0.040844979441762845,0.11766650207661869,262,500,True
B_catholic_ref,Catholic,Jewish,loggap_earnFT_adj,0.385099225493445,0.13711658422024714,37,500,False
B_catholic_ref,Catholic,Muslim,loggap_earnFT_adj,-0.0511990674780891,0.08344118099530434,206,500,True
B_catholic_ref,Catholic,No religion,loggap_earnFT_adj,0.0892127716058888,0.0772680832037346,370,500,True
B_catholic_ref,Catholic,Orthodox,loggap_earnFT_adj,-0.24072197026385742,0.09294999623121072,271,500,True
B_catholic_ref,Catholic,Other,loggap_earnFT_adj,0.05620416506458115,0.08965008696222164,76,500,True
B_catholic_ref,Catholic,Protestant,loggap_earnFT_adj,-0.10833975475488705,0.08246382202782979,505,500,True
B_catholic_ref,Catholic,Buddhist,loggap_earnFT_adj_origin,-0.03943640521857761,0.13540347644770173,82,500,True
B_catholic_ref,Catholic,Hindu,loggap_earnFT_adj_origin,-0.20752226337427804,0.1779797476361924,262,500,True
B_catholic_ref,Catholic,Jewish,loggap_earnFT_adj_origin,0.33533178707885136,0.12804301010206776,37,500,False
B_catholic_ref,Catholic,Muslim,loggap_earnFT_adj_origin,-0.039289324784674756,0.09062257455775717,206,500,True
B_catholic_ref,Catholic,No religion,loggap_earnFT_adj_origin,0.0162444343721099,0.07568384962463784,370,500,True
B_catholic_ref,Catholic,Orthodox,loggap_earnFT_adj_origin,-0.1966939984348865,0.08967236395217043,271,500,True
B_catholic_ref,Catholic,Other,loggap_earnFT_adj_origin,-0.00541391187543433,0.09579798916474724,76,500,True
B_catholic_ref,Catholic,Protestant,loggap_earnFT_adj_origin,-0.043661785789888,0.07951288213932846,505,500,True
B_catholic_ref,Catholic,Buddhist,loggap_wageG_unadj,-0.6246279354825931,0.2519970565551006,100,500,True
B_catholic_ref,Catholic,Hindu,loggap_wageG_unadj,0.4706025658751626,0.14861614919007402,280,500,True
B_catholic_ref,Catholic,Jewish,loggap_wageG_unadj,0.8830019103677786,0.17573705873685191,55,500,True
B_catholic_ref,Catholic,Muslim,loggap_wageG_unadj,-0.3633943196913474,0.12830801152613758,254,500,True
B_catholic_ref,Catholic,No religion,loggap_wageG_unadj,-0.030004149331448814,0.11657190416095589,428,500,True
B_catholic_ref,Catholic,Orthodox,loggap_wageG_unadj,-0.31224679526915017,0.10873510574836602,347,500,True
B_catholic_ref,Catholic,Other,loggap_wageG_unadj,0.09469183266735012,0.2217293073440229,79,500,True
B_catholic_ref,Catholic,Protestant,loggap_wageG_unadj,-0.12804783197455588,0.10677939752044008,594,500,True
B_catholic_ref,Catholic,Buddhist,loggap_wageG_adj,-0.5629197805735717,0.22103092759128024,100,500,True
B_catholic_ref,Catholic,Hindu,loggap_wageG_adj,-0.02516631208384847,0.12880442758253358,280,500,True
B_catholic_ref,Catholic,Jewish,loggap_wageG_adj,0.2620091978520268,0.18887484987040573,55,500,True
B_catholic_ref,Catholic,Muslim,loggap_wageG_adj,-0.2760819354827073,0.10658354355750627,254,500,True
B_catholic_ref,Catholic,No religion,loggap_wageG_adj,-0.15784622416533128,0.1071678249065138,428,500,True
B_catholic_ref,Catholic,Orthodox,loggap_wageG_adj,-0.41058705169734644,0.0991336012428908,347,500,True
B_catholic_ref,Catholic,Other,loggap_wageG_adj,-0.23745902954889586,0.20403287558988756,79,500,True
B_catholic_ref,Catholic,Protestant,loggap_wageG_adj,-0.2672947769348016,0.09484550080623569,594,500,True
B_catholic_ref,Catholic,Buddhist,loggap_wageG_adj_origin,-0.5203717217191633,0.2312516355776307,100,500,True
B_catholic_ref,Catholic,Hindu,loggap_wageG_adj_origin,-0.09832457116689391,0.1779212566388833,280,500,True
B_catholic_ref,Catholic,Jewish,loggap_wageG_adj_origin,0.36181309356683977,0.18488844814797656,55,500,True
B_catholic_ref,Catholic,Muslim,loggap_wageG_adj_origin,-0.21894945444251385,0.11204087480839281,254,500,True
B_catholic_ref,Catholic,No religion,loggap_wageG_adj_origin,-0.08068976809548248,0.10582866741629111,428,500,True
B_catholic_ref,Catholic,Orthodox,loggap_wageG_adj_origin,-0.27453112763834264,0.10769807672849803,347,500,True
B_catholic_ref,Catholic,Other,loggap_wageG_adj_origin,-0.14860816527242837,0.16657858170724166,79,500,True
B_catholic_ref,Catholic,Protestant,loggap_wageG_adj_origin,-0.09887848057382098,0.08263148720433805,594,500,True
